,Energy_1,Energy_2,Trip,Average_Speeds,Style,Motor_Way,City,Country_Road,Tire_Type,Parking_Heat,Consumption_1,Consumption_2
2519,"['3,58']",3.58,"['20,0']",49.0,['Moderate'],1.0,1.0,1.0,['Summer tires'],0.0,"17,90",17.9
2520,"['0,80']",0.8,"['7,0']",24.0,['Moderate'],0.0,1.0,0.0,['Summer tires'],0.0,"11,43",11.4
2521,"['1,80']",1.8,"['20,0']",46.0,['Moderate'],1.0,1.0,1.0,['Summer tires'],0.0,"9,00",9.0
2522,"['0,19']",0.19,"['1,0']",15.0,['Moderate'],0.0,1.0,0.0,['Summer tires'],0.0,"19,00",10.9
2523,"['3,84']",3.84,"['20,0']",43.0,['Moderate'],1.0,1.0,1.0,['Summer tires'],0.0,"19,20",19.2
2524,"['1,25']",1.25,"['8,0']",26.0,['Moderate'],0.0,1.0,0.0,['Summer tires'],0.0,"15,63",15.6
2525,"['1,98']",1.98,"['22,0']",34.0,['Moderate'],1.0,1.0,1.0,['Summer tires'],0.0,"9,00",9.0
2526,"['3,62']",3.62,"['20,0']",51.0,['Moderate'],1.0,1.0,1.0,['Summer tires'],0.0,"18,10",18.1
2527,"['1,46']",1.46,"['20,0']",44.0,['Moderate'],1.0,1.0,1.0,['Summer tires'],0.0,"7,30",7.3
2528,"['3,64']",3.64,"['20,0']",49.0,['Moderate'],1.0,1.0,1.0,['Summer tires'],0.0,"18,20",18.2
2529,"['3,33']",3.33,"['26,0']",37.0,['Moderate'],1.0,1.0,0.0,['Summer tires'],0.0,"12,81",12.8
2530,"['11,25']",11.25,"['76,0']",53.0,['Moderate'],1.0,0.0,1.0,['Summer tires'],0.0,"14,80",14.8
2531,"['0,50']",0.5,"['4,0']",20.0,['Moderate'],0.0,1.0,0.0,['Summer tires'],0.0,"12,50",12.6
2532,"['1,46']",1.46,"['19,0']",44.0,['Moderate'],1.0,1.0,1.0,['Summer tires'],0.0,"7,68",7.7
2533,"['3,60']",3.6,"['20,0']",47.0,['Moderate'],1.0,1.0,1.0,['Summer tires'],0.0,"18,00",18.0
2534,"['1,42']",1.42,"['20,0']",44.0,['Moderate'],1.0,1.0,1.0,['Summer tires'],0.0,"7,10",7.1
2535,"['0,40']",0.4,"['4,0']",21.0,['Moderate'],0.0,1.0,0.0,['Summer tires'],0.0,"10,00",10.1
2536,"['3,74']",3.74,"['20,0']",40.0,['Moderate'],1.0,1.0,1.0,['Summer tires'],0.0,"18,70",18.7
2537,"['1,78']",1.78,"['20,0']",48.0,['Moderate'],1.0,1.0,1.0,['Summer tires'],0.0,"8,90",8.9
2538,"['3,70']",3.7,"['20,0']",39.0,['Moderate'],1.0,1.0,1.0,['Summer tires'],0.0,"18,50",18.5
2539,"['2,18']",2.18,"['24,0']",37.0,['Moderate'],1.0,1.0,1.0,['Summer tires'],0.0,"9,08",9.1
2540,"['3,58']",3.58,"['20,0']",42.0,['Moderate'],1.0,1.0,1.0,['Summer tires'],0.0,"17,90",17.9
2541,"['1,16']",1.16,"['12,0']",17.0,['Moderate'],0.0,1.0,0.0,['Summer tires'],0.0,"9,67",9.7
2542,[],,[],,[],,,,[],,,
2543,"['1,02']",1.02,"['5,0']",14.0,['Fast'],0.0,1.0,0.0,['Summer tires'],0.0,"20,40",20.4
2544,"['2,24']",2.24,"['22,0']",40.0,['Moderate'],1.0,1.0,1.0,['Summer tires'],0.0,"10,18",10.2
2545,"['3,94']",3.94,"['20,0']",43.0,['Moderate'],1.0,1.0,1.0,['Summer tires'],0.0,"19,70",19.7
2546,"['1,62']",1.62,"['20,0']",49.0,['Moderate'],1.0,1.0,1.0,['Summer tires'],0.0,"8,10",8.1
2547,"['3,90']",3.9,"['20,0']",41.0,['Moderate'],1.0,1.0,1.0,['Summer tires'],0.0,"19,50",19.5
2548,"['0,35']",0.35,"['2,0']",28.0,['Moderate'],0.0,1.0,0.0,['Summer tires'],0.0,"17,50",17.3
2549,"['2,07']",2.07,"['23,0']",35.0,['Moderate'],1.0,1.0,1.0,['Summer tires'],0.0,"9,00",9.0
2550,"['3,92']",3.92,"['20,0']",45.0,['Moderate'],1.0,1.0,1.0,['Summer tires'],0.0,"19,60",19.6
2551,"['1,98']",1.98,"['20,0']",49.0,['Moderate'],1.0,1.0,1.0,['Summer tires'],0.0,"9,90",9.9
2552,"['3,88']",3.88,"['20,0']",38.0,['Moderate'],1.0,1.0,1.0,['Summer tires'],0.0,"19,40",19.4
2553,"['0,70']",0.7,"['7,0']",18.0,['Moderate'],0.0,1.0,0.0,['Summer tires'],0.0,"10,00",10.0
2554,"['0,46']",0.46,"['3,0']",24.0,['Moderate'],0.0,1.0,0.0,['Summer tires'],0.0,"15,33",15.2
